Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,PCA1,PCA2,Grade Category,Cluster
0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6666666666666666,0.3333333333333333,75.0,-3.3817567772913,-3.9300873542156807,Medium,0
1.0,0.0,0.75,0.2,0.6000000000000001,0.5,0.75,0.6666666666666666,0.6666666666666666,65.0,-3.938214574486864,-0.08879915634487645,Medium,1
1.0,0.0,0.25,0.2,0.4,0.5,0.5,0.3333333333333333,0.5,68.0,-3.7535622586497404,-1.6947074049282906,Medium,1
1.0,0.0,0.25,0.6000000000000001,0.6000000000000001,0.5,0.75,1.0,1.0,75.0,-3.8961984070465796,0.6583666754066009,Medium,1
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.6666666666666666,70.0,-3.144925640048025,-3.848022273833425,Medium,0
1.0,0.0,0.25,0.8,0.4,0.5,1.0,0.6666666666666666,0.6666666666666666,85.0,-4.179372007578809,0.7111775383199266,High,1
1.0,0.0,0.25,0.6000000000000001,0.2,0.5,0.75,0.6666666666666666,0.5,70.0,-3.918820366489925,-0.5507139490926694,Medium,1
1.0,0.0,0.5,0.8,0.6000000000000001,0.5,0.5,0.8333333333333333,0.3333333333333333,64.0,-4.188488027614528,1.4542741584781957,Medium,1
1.0,0.0,0.5,0.2,0.4,0.5,0.5,0.3333333333333333,0.6666666666666666,42.35,-3.7887200164029173,-1.1444145168009925,Low,1
0.0,0.0,1.0,1.0,0.4,0.5,0.5,0.5,0.3333333333333333,55.0,-4.454602021236857,2.498332218120785,Low,2
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333333,0.8333333333333333,72.5,-3.1509809081979725,-3.6813469118922098,Medium,0
1.0,0.0,0.25,0.6000000000000001,0.2,0.5,0.75,0.5,0.5,55.0,-3.962842088731618,-0.6064828787324226,Low,1
0.0,0.0,0.5,0.4,0.4,0.5,0.25,0.3333333333333333,0.5,65.0,-3.8620241576063865,-0.6135546807019279,Medium,2
0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.5,85.0,-2.415262816778284,-3.888869550088106,High,0
0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,60.0,-2.249028360938206,-3.645593274922552,Low,0
1.0,0.1,0.25,0.2,0.6000000000000001,0.5,0.75,0.6666666666666666,0.6666666666666666,75.0,-2.819416922134055,-0.8699539072511779,Medium,1
1.0,0.1,1.0,1.0,0.4,0.5,0.5,0.5,0.5,40.0,-3.4434180164150163,2.816195390692952,Low,1
1.0,0.1,1.0,0.6000000000000001,0.4,0.5,0.25,0.3333333333333333,0.3333333333333333,50.0,-3.1843427992556186,1.2171842250103486,Low,1
1.0,0.1,1.0,0.2,0.8,0.5,0.25,0.6666666666666666,0.6666666666666666,45.0,-2.942870179917822,0.917959559521937,Low,1
1.0,0.1,0.25,1.0,0.2,0.5,0.25,0.5,0.6666666666666666,55.0,-3.0330566309963327,0.9994405720006325,Low,1
1.0,0.1,0.5,0.6000000000000001,0.6000000000000001,0.5,0.25,0.5,0.5,63.0,-3.051462370355094,0.8350929903748314,Medium,1
1.0,0.1,0.25,1.0,0.2,0.5,0.5,0.3333333333333333,0.5,50.0,-3.195493921859664,0.9026391021697506,Low,1
1.0,0.1,0.75,0.6000000000000001,0.4,0.5,0.25,0.3333333333333333,0.6666666666666666,40.0,-3.046677174157446,0.8947997956219371,Low,1
1.0,0.1,0.25,1.0,0.4,0.5,0.25,0.5,0.16666666666666666,40.0,-3.2195291745338466,1.206349266502186,Low,1
0.0,0.1,0.25,1.0,0.2,0.5,0.25,0.3333333333333333,0.5,86.0,-3.1081187994434094,0.7933005226444179,High,2
0.0,0.1,0.25,0.6000000000000001,0.2,0.5,0.25,0.5,0.6666666666666666,62.0,-2.7769078390772677,-0.5072968652109227,Medium,2
1.0,0.1,0.25,0.8,0.2,0.5,0.25,0.3333333333333333,0.5,75.0,-2.9847376678482993,0.15153425424388978,Medium,1
0.0,0.1,0.25,0.4,0.2,0.5,0.5,0.5,0.3333333333333333,89.0,-2.8029827223091788,-1.3404667935190382,High,2
1.0,0.1,0.0,0.0,0.0,0.0,0.5,0.8333333333333333,0.6666666666666666,75.0,-2.208135481606128,-3.5154227118126333,Medium,0
1.0,0.1,0.25,1.0,0.2,0.5,0.75,0.3333333333333333,0.3333333333333333,50.0,-3.3139094904813016,0.8616065619786228,Low,1
0.0,0.1,0.25,0.8,0.4,0.5,0.25,0.3333333333333333,0.3333333333333333,88.0,-3.099742790246201,0.435980287767868,High,2
0.0,0.1,0.25,0.4,0.4,0.5,0.5,0.3333333333333333,0.5,90.0,-2.8967998316283916,-0.8854490836720577,High,2
0.0,0.1,0.5,0.6000000000000001,0.6000000000000001,0.5,0.5,0.8333333333333333,0.3333333333333333,90.0,-3.07870565158373,0.8311966759930423,High,2
0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,70.0,-2.2771423819032566,-3.8882381231100624,Medium,0
1.0,0.1,0.75,1.0,0.6000000000000001,0.5,0.5,0.6666666666666666,0.5,48.0,-3.4140339234976653,2.832458071692141,Low,1
0.0,0.1,0.25,0.4,0.2,0.5,0.25,0.6666666666666666,0.6666666666666666,57.75,-2.6063761423308494,-1.1676958374418631,Low,2
1.0,0.1,0.25,1.0,0.2,0.5,0.25,0.3333333333333333,0.3333333333333333,70.0,-3.145416931468023,0.7917326698682885,Medium,1
0.0,0.1,0.5,0.6000000000000001,0.4,0.5,0.25,0.5,0.5,70.0,-2.96436885125296,0.3258742036642257,Medium,2
0.0,0.1,0.0,0.0,0.0,0.0,0.25,0.8333333333333333,0.5,94.0,-2.154929648304872,-3.700730777584262,High,0
0.0,0.1,0.75,0.6000000000000001,0.6000000000000001,0.5,0.5,0.3333333333333333,0.3333333333333333,90.0,-3.2800978651769856,1.1382132889547867,High,2
1.0,0.1,0.25,0.8,0.2,0.5,0.75,0.3333333333333333,0.5,60.0,-3.153230226861578,0.22140814635422412,Low,1
0.0,0.1,0.25,0.8,0.2,0.5,0.25,0.3333333333333333,0.16666666666666666,70.0,-3.049947403168681,-0.07480635171886618,Medium,2
0.0,0.1,0.5,0.6000000000000001,0.2,0.5,0.25,0.6666666666666666,0.3333333333333333,55.0,-2.870551741933747,-0.12914350618275705,Low,2
0.0,0.1,0.25,0.6000000000000001,0.4,0.5,0.25,0.16666666666666666,0.5,66.0,-2.9830852488681705,-0.25998705749628304,Medium,2
0.0,0.1,0.5,0.6000000000000001,0.4,0.5,0.5,0.6666666666666666,0.6666666666666666,75.0,-2.9704241194029075,0.49254956560544016,Medium,2
0.0,0.1,1.0,0.8,0.4,0.5,0.75,0.5,0.3333333333333333,71.0,-3.4321947676223132,1.9845933151609652,Medium,2
1.0,0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,75.0,-2.3303482152045127,-3.7029300573384343,Medium,0
0.0,0.1,0.25,1.0,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,65.0,-3.070152345351664,1.0157448142253855,Medium,2
0.0,0.1,0.25,1.0,0.4,0.5,0.25,1.0,0.8333333333333333,87.0,-2.947658008439158,1.6031323669364594,High,2
1.0,0.1,0.25,0.4,0.2,0.5,0.75,0.3333333333333333,0.5,68.0,-2.900210277852128,-1.2109276573871632,Medium,1
1.0,0.1,0.25,0.4,0.2,0.5,0.75,0.5,0.3333333333333333,75.0,-2.8903578447254334,-1.231128213993705,Medium,1
0.0,0.1,0.75,0.6000000000000001,0.2,0.5,0.5,0.3333333333333333,0.5,86.0,-3.07799922367695,0.3445484687202027,High,2
0.0,0.1,0.75,0.2,0.4,0.5,0.75,0.6666666666666666,0.8333333333333333,55.0,-2.8368082076532746,-0.354556403953481,Low,2
1.0,0.1,1.0,1.0,1.0,0.5,0.75,0.6666666666666666,0.3333333333333333,70.0,-3.7697058913725154,4.135383239862897,Medium,1
0.0,0.1,0.75,0.6000000000000001,0.6000000000000001,0.5,0.5,0.5,0.5,80.0,-3.2019068538202937,1.2699517048408353,Medium,2
1.0,0.1,0.5,0.2,0.4,0.5,0.25,0.5,0.5,91.0,-2.7144777451531255,-1.032059966606997,High,1
0.0,0.1,1.0,1.0,0.2,0.5,0.5,0.6666666666666666,0.6666666666666666,87.0,-3.278133485956191,2.438715019868395,High,2
1.0,0.1,1.0,1.0,1.0,0.5,1.0,0.8333333333333333,0.8333333333333333,86.0,-3.707422581292466,4.4539975742967,High,1
1.0,0.1,1.0,0.6000000000000001,1.0,0.5,0.25,0.5,0.5,45.0,-3.3580458164764817,2.6533741006177163,Low,1
0.0,0.1,0.25,0.6000000000000001,0.2,0.5,0.25,0.6666666666666666,0.8333333333333333,70.0,-2.6987168277205758,-0.3755584493248749,Medium,2
0.0,0.1,0.25,0.2,0.2,0.5,0.25,0.3333333333333333,0.3333333333333333,60.0,-2.636248190539508,-2.1473405710846536,Low,2
0.0,0.1,1.0,0.6000000000000001,0.6000000000000001,0.5,0.5,0.5,0.5,88.0,-3.271233900688469,1.7442751067218385,High,2
1.0,0.1,0.75,0.2,0.4,0.5,0.5,0.6666666666666666,0.3333333333333333,70.0,-2.8581986384012454,-0.5430001752773688,Medium,1
1.0,0.1,0.75,1.0,0.6000000000000001,0.5,0.75,0.8333333333333333,0.8333333333333333,57.0,-3.3859199025326143,3.075102919879652,Low,1
